"cell_id","cell_index","regime","regime_label","tau0","n","domain_length","stage","rep","seed","status","error_message","loglik_matern","loglik_iid","delta","selection","fitted_range","fitted_sigma","fitted_beta","range_over_mesh","iid_mean","iid_sigma"
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",12,20360425,"ok",NA,-10.6114971088357,-10.4894762151743,-0.122020893661347,"iid",0.000367479611730907,1.85168599699127,0.245621768538602,0.00734959223461815,0.246884127890462,0.242742683841446
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",13,20360426,"ok",NA,-3.31429234550968,-3.5260400437417,0.211747698232017,"matern",0.000631485860356604,0.999922927419401,0.318548811610625,0.0126297172071321,0.32301552964634,0.172737185795641
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",14,20360427,"ok",NA,-6.27922990430352,-5.9550553802024,-0.324174524101114,"iid",0.000854347267403231,0.986532130806031,0.306158623998286,0.0170869453480646,0.308225884896913,0.197120169180515
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",15,20360428,"ok",NA,-6.96906472838264,-6.83750328038674,-0.131561447995896,"iid",0.00047765595602636,1.37547561870237,0.288111345118371,0.0095531191205272,0.28745524349284,0.205946204997646
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",16,20360429,"ok",NA,-3.61341591761859,-3.59852005443771,-0.0148958631808807,"iid",0.000321922543681967,1.40651780015603,0.254047962863825,0.00643845087363934,0.250043511547743,0.17346955440515
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",17,20360430,"ok",NA,-5.02437257716572,-5.5475389397355,0.523166362569771,"matern",0.000232535867121985,1.83265380318249,0.379052279378253,0.00465071734243969,0.372896832569035,0.19304413872782
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",18,20360431,"ok",NA,-4.49969162801275,-1.85475262001803,-2.64493900799472,"iid",0.00353800772330956,0.000320818753865256,0.312532862660906,0.0707601544661912,0.312532876008818,0.155689894063905
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",19,20360432,"ok",NA,-3.6928336839862,-3.63079196405614,-0.0620417199300558,"iid",0.00110749342384278,0.759757940158251,0.295294586965922,0.0221498684768557,0.29881484443997,0.17379550437338
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",20,20360433,"ok",NA,-1.30388908773392,-1.43031421034149,0.126425122607568,"matern",0.018605256469382,0.174769513581766,0.269875426365664,0.372105129387639,0.270625659058001,0.151295844300732
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",1,20460414,"ok",NA,-25.1533865494222,-24.9648390739773,-0.188547475444857,"iid",1.83554374186895e-10,4391.61136060293,0.4803018843026,3.6710874837379e-09,0.478806807975074,0.404969178581374
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",2,20460415,"ok",NA,-36.581438140718,-36.1342499481491,-0.447188192568888,"iid",0.00132428749305929,2.28977971691206,0.272172411140396,0.0264857498611859,0.271549474901307,0.562664185263856
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",3,20460416,"ok",NA,-23.2389169352135,-22.9384977404255,-0.30041919478802,"iid",4.02034059243622e-10,2791.58910898509,0.369898235826474,8.04068118487245e-09,0.364987058731394,0.379926366317089
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",4,20460417,"ok",NA,-32.0277468295004,-31.8465170872473,-0.181229742253137,"iid",0.00040354863387282,3.64197481109329,0.262287940897485,0.0080709726774564,0.250319171339525,0.497777295030068
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",5,20460418,"ok",NA,-28.3101965734819,-27.9994877785627,-0.310708794919272,"iid",0.00120772506178394,1.88575395344785,0.289221866568813,0.0241545012356787,0.283883372465359,0.444325550030798
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",6,20460419,"ok",NA,-34.0294875556578,-33.5391207307083,-0.490366824949533,"iid",0.00075035451925534,2.82795801117436,0.300737210480933,0.0150070903851068,0.306471271515521,0.522683062681057
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",7,20460420,"ok",NA,-31.7104985470766,-31.7382093214469,0.0277107743702487,"matern",0.00105018131501243,2.23866010840167,0.291830205654503,0.0210036263002487,0.277350478434435,0.496213658999271
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",8,20460421,"ok",NA,-31.0612756214772,-31.3231092813112,0.261833659834025,"matern",0.0193775377928897,0.558475051366911,0.369872051227622,0.387550755857794,0.368150534017454,0.490253565781085
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",9,20460422,"ok",NA,-24.3982163136809,-23.9337836811469,-0.464432632534013,"iid",1.48850103544952e-13,150414.856381426,0.184395954674332,2.97700207089904e-12,0.180216581308246,0.392109640905694
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",10,20460423,"ok",NA,-33.1678960816685,-33.137104100408,-0.0307919812604354,"iid",0.0235996250019313,0.558834228385911,0.351866418233754,0.471992500038627,0.340759110690272,0.51668646522893
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",11,20460424,"ok",NA,-30.1571468960372,-31.3875403862801,1.23039349024296,"matern",0.00142454938900718,1.84389193348805,0.120368961376111,0.0284909877801436,0.128557050959585,0.491175281388469
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",12,20460425,"ok",NA,-34.6109666944884,-34.2148371972211,-0.396129497267211,"iid",0.0226008092606163,0.589037513833785,0.131628205159874,0.452016185212327,0.134146205945595,0.532878954501858
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",13,20460426,"ok",NA,-22.6342212659866,-22.4730506869524,-0.16117057903417,"iid",4.83608960416813e-12,24982.9063977713,0.48594379736217,9.67217920833625e-11,0.47723176676061,0.374304220385339
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",14,20460427,"ok",NA,-24.1650673044324,-26.139379746109,1.97431244167652,"matern",0.0152778240015625,0.499015804657336,0.27659178604482,0.305556480031249,0.278877932957038,0.419927523695898
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",15,20460428,"ok",NA,-27.3629260990111,-27.4764081037406,0.113482004729541,"matern",0.000677568303098555,2.44971425166543,0.344235364474702,0.0135513660619711,0.34503021836706,0.437374073159663
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",16,20460429,"ok",NA,-28.0151789873293,-27.6626556425883,-0.352523344740938,"iid",0.000536885222443737,2.80220367494006,0.269500560710965,0.0107377044488747,0.271429802548584,0.439840943887388
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",17,20460430,"ok",NA,-32.4176157645295,-32.2214770459221,-0.196138718607443,"iid",0.0200027944372794,0.574491180207647,0.349546028192041,0.400055888745588,0.341924608013856,0.503218114201026
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",18,20460431,"ok",NA,-33.6538421218175,-33.318769988274,-0.335072133543505,"iid",0.000757275703475183,2.78578260591219,0.364789469402336,0.0151455140695037,0.368149310414111,0.519389889975125
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",19,20460432,"ok",NA,-32.8895288966669,-32.5108679340562,-0.378660962610695,"iid",0.00282335271884526,1.41377532158037,0.312943047832768,0.0564670543769051,0.309543862156526,0.507446743353053
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",20,20460433,"ok",NA,-30.5913382919859,-31.0374881083157,0.446149816329836,"matern",0.030869538083137,0.490140302844735,0.422400307518693,0.617390761662739,0.419387878156546,0.486182412514649
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",1,20560414,"ok",NA,-17.7903324163915,-8.83984235664082,-8.95049005975063,"iid",0.00136349183422032,0.000238875408116413,0.274336621259242,0.0272698366844065,0.274336643246949,0.181742696928965
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",2,20560415,"ok",NA,-6.04821523948397,-6.13101582877312,0.0828005892891426,"matern",0.0127506196251847,0.177122803341069,0.270117148134483,0.255012392503693,0.268253847639283,0.168072300730676
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",3,20560416,"ok",NA,-6.99129750534194,-6.74583213818045,-0.245465367161497,"iid",0.000204307899160762,1.23877520554922,0.274702223011728,0.00408615798321524,0.273881254557746,0.171188369955811
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",4,20560417,"ok",NA,-12.5048419551807,-12.8227142495099,0.317872294329206,"matern",0.0140921330015643,0.208339025362705,0.281718518243705,0.281842660031286,0.279384741989249,0.201684013546761
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",5,20560418,"ok",NA,-24.4621469471254,-12.3367106065994,-12.125436340526,"iid",6.06278080343013e-05,0.00107142615247053,0.300802888966613,0.00121255616068603,0.300802846140857,0.19925408655056
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",6,20560419,"ok",NA,-42.5867391868448,-20.5327702036007,-22.0539689832441,"iid",3.50140762682506e-05,0.000786326214329509,0.308000072632068,0.000700281525365012,0.308000067599318,0.240471807147029
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",7,20560420,"ok",NA,-6.8290100849539,-7.12396724310545,0.294957158151554,"matern",0.0135575293743027,0.179383659031393,0.333566930628672,0.271150587486054,0.335610787612456,0.173100331394459
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",8,20560421,"ok",NA,-33.3207777326665,-16.5524174653384,-16.7683602673281,"iid",7.28759627419376e-06,0.00386092472551471,0.300616608573096,0.000145751925483875,0.300616618788133,0.220365016956894
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",9,20560422,"ok",NA,-26.1352434049325,-25.6664826957788,-0.468760709153699,"iid",0.00030657747757493,1.58864903978629,0.283821438469007,0.0061315495514986,0.284454270424704,0.266877142286437
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",10,20560423,"ok",NA,-14.395652404684,-14.6799615345571,0.284309129873044,"matern",0.000200542846779617,1.53822698632966,0.330468074045746,0.00401085693559235,0.327000001086538,0.210974909667774
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",11,20560424,"ok",NA,-8.76053629257218,-9.507052594472,0.746516301899824,"matern",0.000299077810373046,1.10352761788827,0.341282650431191,0.00598155620746092,0.342172257055811,0.185090968603986
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",12,20560425,"ok",NA,-22.2531601036748,-22.108328329365,-0.144831774309779,"iid",0.000159532237299612,2.04142053773216,0.360143749052285,0.00319064474599223,0.360644473600963,0.248509311373944
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",13,20560426,"ok",NA,-4.48654833963836,-4.6640612473457,0.177512907707335,"matern",0.0158779861590623,0.16116312779873,0.322773147321805,0.317559723181247,0.321361563186262,0.160595082813404
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",14,20560427,"ok",NA,-18.2297155252077,-18.7035695642529,0.473854039045207,"matern",0.000189882325757931,1.72834662683388,0.291680314123965,0.00379764651515862,0.292569034622554,0.231200724533451
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",15,20560428,"ok",NA,-10.0995024884419,-10.5956188220834,0.496116333641467,"matern",0.000332697038055323,1.07791625584705,0.278312021622153,0.00665394076110647,0.281646718425105,0.190544757662529
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",16,20560429,"ok",NA,-14.5961202449998,-14.190016072102,-0.406104172897848,"iid",2.04348875273888e-10,1515.49399237264,0.313464127841847,4.08697750547776e-09,0.31317254962423,0.208523143916945
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",17,20560430,"ok",NA,-9.95986056095962,-9.62259967118703,-0.337260889772587,"iid",0.000263361485788428,1.18575240061522,0.31345946346511,0.00526722971576856,0.31269263787359,0.185670313444283
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",18,20560431,"ok",NA,-15.9915339400582,-15.8120969805663,-0.179436959491845,"iid",0.00983813408631898,0.248239262797753,0.335648780485857,0.19676268172638,0.334082013767966,0.216648871883581
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",19,20560432,"ok",NA,-12.5341774052254,-12.5019300791324,-0.0322473260930707,"iid",0.000216253112350217,1.40848567094882,0.303779946264516,0.00432506224700433,0.302364210550206,0.200080107542428
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",20,20560433,"ok",NA,-5.5844388486673,-5.83348708969498,0.249048241027683,"matern",0.0114475589163993,0.180260766733382,0.321210364805728,0.228951178327987,0.318563173301182,0.166561127159485
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",1,20660414,"ok",NA,-53.3081539936207,-53.1332670292954,-0.174886964325367,"iid",1.11357939199987e-23,13253244066.2195,0.318911352155721,2.22715878399974e-22,0.316628641759711,0.425453204012937
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",2,20660415,"ok",NA,-58.2918241740058,-58.3785088556273,0.0866846816215059,"matern",0.00362235906539956,0.803330927746947,0.213472969066196,0.0724471813079911,0.220144698055984,0.460410454284515
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",3,20660416,"ok",NA,-60.6085568833278,-60.8204239681694,0.2118670848416,"matern",0.0003311116684148,2.71356840977092,0.307183259374584,0.006622233368296,0.314503983254672,0.477325611598342
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",4,20660417,"ok",NA,-69.1798945983026,-69.3273377799461,0.147443181643553,"matern",0.000151530798060678,4.53988839413281,0.313147978955753,0.00303061596121355,0.317479327590133,0.539733613738651
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",5,20660418,"ok",NA,-72.4351211722206,-73.1444812285527,0.709360056332088,"matern",0.0143389361691697,0.587186118467941,0.361691187368943,0.286778723383395,0.355366424955894,0.569637398745501
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",6,20660419,"ok",NA,-64.8151920100112,-64.8007503320963,-0.0144416779149026,"iid",0.00400643023448154,0.842920173931356,0.268069114013711,0.0801286046896307,0.273322250879795,0.505829157748485
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",7,20660420,"ok",NA,-61.005139628054,-61.107118550325,0.101978922270973,"matern",0.012977473459865,0.507649640013854,0.346072804847492,0.2595494691973,0.347762373399343,0.479339484144962
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",8,20660421,"ok",NA,-62.4923067416914,-61.8815027853522,-0.61080395633914,"iid",0.000255819022820406,3.16990829460247,0.222593082834644,0.00511638045640811,0.222426121064829,0.484809025552811
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",9,20660422,"ok",NA,-65.2092864051219,-64.7981113058527,-0.411175099269144,"iid",0.00052158258069977,2.31059435264427,0.258460118843797,0.0104316516139954,0.254129155583932,0.505809863111209
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",10,20660423,"ok",NA,-51.0157819910184,-50.5841601178334,-0.431621873184994,"iid",0.00485213519638467,0.627445183207646,0.34500502607711,0.0970427039276933,0.342316483572952,0.409103105043687
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",11,20660424,"ok",NA,-61.1861757225621,-61.9369865595701,0.750810837007975,"matern",0.0115851321192518,0.524852517402025,0.195536506929345,0.231702642385037,0.190507236697863,0.485202126057772
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",12,20660425,"ok",NA,-52.771780338024,-54.1958087308104,1.42402839278641,"matern",0.0164944487267917,0.431432479930703,0.334640195957514,0.329888974535835,0.339025545106505,0.432388620245426
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",13,20660426,"ok",NA,-59.880873277459,-61.3576466485595,1.47677337110048,"matern",0.0129394593759833,0.500921730707744,0.348024065458276,0.258789187519666,0.337479947953933,0.481104192791533
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",14,20660427,"ok",NA,-62.3707657148938,-62.0163356755804,-0.354430039313371,"iid",0.000924184250175516,1.66673581730449,0.378528641688315,0.0184836850035103,0.378627682332118,0.485765856510826
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",15,20660428,"ok",NA,-70.2770416699328,-70.522637505886,0.245595835953139,"matern",0.0136676920439129,0.575162338797646,0.421079702157332,0.273353840878257,0.423027635238247,0.548964683027376
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",16,20660429,"ok",NA,-59.2432980101704,-59.4962168029092,0.252918792738797,"matern",0.00959085677077199,0.539808766733481,0.516566458112799,0.19181713541544,0.517266191316821,0.468100441786874
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",17,20660430,"ok",NA,-60.759778518048,-60.7572080164144,-0.0025705016336417,"iid",1.67326512349945e-07,120.928299721164,0.321943988066708,3.34653024699891e-06,0.322385749601344,0.476882354774573
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",18,20660431,"ok",NA,-67.7569592389352,-68.9727667204539,1.21580748151865,"matern",0.00846115849765603,0.639317993772647,0.344225523313404,0.169223169953121,0.335685897594715,0.537018163141237
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",19,20660432,"ok",NA,-58.9556706350209,-58.3874395491543,-0.568231085866614,"iid",0.000141900784336344,4.03990481387677,0.304032237208416,0.00283801568672688,0.302603804968684,0.460471553509028
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",20,20660433,"ok",NA,-60.5614489556291,-61.1120230553461,0.550574099716926,"matern",0.0135752951904276,0.499629236209727,0.285328503675002,0.271505903808552,0.283161125079786,0.479373986662125
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",1,20760414,"ok",NA,-47.6147540824701,-24.0134833017121,-23.601270780758,"iid",0.223849351971774,1.74759628917174e-07,0.322140986687873,4.47698703943549,0.322140951775017,0.197603961533732
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",2,20760415,"ok",NA,-68.463058443709,-33.9233358234818,-34.5397226202272,"iid",0.246964916412061,2.2041185071765e-07,0.256785672658945,4.93929832824123,0.256785672484706,0.222421851698601
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",3,20760416,"ok",NA,-63.5351238775454,-31.6893000349037,-31.8458238426417,"iid",0.000395276764185107,8.36646320809837e-06,0.32891229786577,0.00790553528370215,0.328912311489294,0.2168121618483
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",4,20760417,"ok",NA,-33.4753830435183,-33.5953372818893,0.119954238370994,"matern",0.00332064526085109,0.294744888073224,0.278220186360619,0.0664129052170218,0.278484777817476,0.22159738149415
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",5,20760418,"ok",NA,-23.8399089165377,-23.8358809014601,-0.0040280150775942,"iid",9.7895371112279e-05,1.46211760869671,0.288530687001982,0.00195790742224558,0.289794586484659,0.197159921444305
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",6,20760419,"ok",NA,-24.1055174426256,-11.1338946628864,-12.9716227797392,"iid",0.0636175643158776,1.50660822770629e-07,0.292334532972168,1.27235128631755,0.292334499365163,0.165205052124879
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",7,20760420,"ok",NA,-30.0595043779897,-30.1450575950656,0.0855532170759261,"matern",2.10984697150994e-06,10.7532921558501,0.29382633424719,4.21969394301988e-05,0.293070509021832,0.212941576743439
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",8,20760421,"ok",NA,-16.0298742879317,-15.9417846600167,-0.0880896279149823,"iid",0.00566918783287928,0.194336506454494,0.29251558877701,0.113383756657586,0.292776270506112,0.177372217883213
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",9,20760422,"ok",NA,-41.3647066245287,-41.1953468166336,-0.169359807895162,"iid",0.00440446977475366,0.28730716492415,0.29519565491798,0.0880893954950732,0.294560966899599,0.24080188930673
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",10,20760423,"ok",NA,-44.3082334028165,-22.3225529642203,-21.9856804385962,"iid",0.00186807176410827,7.09807621147807e-06,0.291928650223928,0.0373614352821654,0.291928650321616,0.193375456131902
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",11,20760424,"ok",NA,-41.7933425141158,-21.0120933152937,-20.7812491988221,"iid",3.53672510667102,1.02498691034184e-08,0.269508636729828,70.7345021334204,0.269508633373014,0.190096320398798
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",12,20760425,"ok",NA,-44.8867288992423,-22.6209826278134,-22.265746271429,"iid",0.167041216389541,2.614967976281e-07,0.296428475680176,3.34082432779081,0.296428459224073,0.194121907010423
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",13,20760426,"ok",NA,-9.90667647965815,-9.84054269927745,-0.066133780380703,"iid",0.0035410972785942,0.209609258348911,0.33474137479491,0.0708219455718839,0.33498297798566,0.161905893794919
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",14,20760427,"ok",NA,-41.3864811426276,-20.7980539303722,-20.5884272122554,"iid",1.43248629920924,6.24967875791168e-08,0.317565958714302,28.6497259841849,0.317565955884276,0.189560520542128
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",15,20760428,"ok",NA,-36.8299413563847,-36.7180302939166,-0.111911062468081,"iid",0.00104056716269482,0.524292630342634,0.314623467659216,0.0208113432538963,0.313550237608847,0.229460755032144
